type,date,shop,category,name,amount,price
buy,2020-03-19,"РАО «Брагина, Русакова и Кошелев»",Посуда,Миска «Русская» малая,3,6194.77
sale,2020-03-06,Крокус,Электротовары,Умный встраиваемый  выключатель HIPER,9,8322.54
sale,2020-03-16,"ЗАО «Исаков, Блохина и Зайцева»",,Ручка шариковая MAZARi Silvano Smart Ink,9,1691.1
sale,2020-03-31,ООО «Дьячкова Коновалов»,Посуда,Сковорода блинная Гранит,7,149.41
buy,2020-03-13,"РАО «Брагина, Русакова и Кошелев»",Мебель,Корзина сетчатая навесная на полку,7,66.07
buy,2020-03-14,Крокус,,Игрушка надувная Меч череп,4,20.18
sale,2020-03-25,Крокус,,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,6,1701.94
sale,2020-03-24,ООО «Дьячкова Коновалов»,,Пельмени «Башкирские»,4,140.95
buy,2020-03-20,"РАО «Брагина, Русакова и Кошелев»",,Альбом для монет «Деньги Мира»,6,21497.68
sale,2020-03-25,"РАО «Брагина, Русакова и Кошелев»",Мебель,Стол раскладной Ялта-1,7,150.64
buy,2020-03-01,ООО «Дьячкова Коновалов»,Быловая химия,Универсальное моющее средство «Выгодная уборка»,10,10072.79
sale,2020-03-15,ООО «Дьячкова Коновалов»,Электротовары,Фонарь ручной «Контраст»,9,2978.56
buy,2020-03-04,Крокус,Быловая химия,Отбеливатель Der Waschkonig C.G. Fleckentferner,3,3361.83
sale,2020-03-17,Крокус,Инструменты,Система выравнивания плитки «ПСВП»,7,1002.56
buy,2020-03-04,Крокус,Инструменты,Круг отрезной по металлу TSUNAMI,1,3550.8
buy,2020-03-24,Крокус,,Игрушка надувная Меч череп,10,803.23
buy,2020-03-31,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Миска «Русская» малая,6,17440.56
sale,2020-03-12,ООО «Дьячкова Коновалов»,Быловая химия,Отбеливатель Der Waschkonig C.G. Fleckentferner,2,307.81
sale,2020-03-14,ТГК-2,Электротовары,Умный встраиваемый  выключатель HIPER,6,7027.92
sale,2020-03-10,"РАО «Брагина, Русакова и Кошелев»",Посуда,Сковорода блинная Гранит,6,4.89
buy,2020-03-25,ООО «Дьячкова Коновалов»,Инструменты,Система выравнивания плитки «ПСВП»,4,17.18
sale,2020-03-24,ООО «Дьячкова Коновалов»,Инструменты,Круг отрезной по металлу TSUNAMI,10,1567.21
buy,2020-03-09,"РАО «Брагина, Русакова и Кошелев»",Электротовары,Умный встраиваемый  выключатель HIPER,4,1134.63
sale,2020-03-26,"ЗАО «Исаков, Блохина и Зайцева»",Мебель,Стол раскладной Ялта-1,2,1689.39
buy,2020-03-30,ООО «Дьячкова Коновалов»,,Игрушка надувная Меч череп,2,8421.13
sale,2020-03-22,Крокус,,Пельмени «Башкирские»,9,70.77
buy,2020-03-09,ООО «Дьячкова Коновалов»,Посуда,Миска «Русская» малая,4,590.28
sale,2020-03-28,"ЗАО «Исаков, Блохина и Зайцева»",Мебель,Стол раскладной Ялта-1,3,119.43
sale,2020-03-30,ООО «Дьячкова Коновалов»,Мебель,Ручка скоба РС109,2,625.2
sale,2020-03-03,Крокус,Электротовары,Умный встраиваемый  выключатель HIPER,10,18928.11
buy,2020-03-20,"РАО «Брагина, Русакова и Кошелев»",Инструменты,Система выравнивания плитки «ПСВП»,2,390.79
sale,2020-03-13,ТГК-2,Инструменты,Круг отрезной по металлу TSUNAMI,7,148.32
sale,2020-03-22,"РАО «Брагина, Русакова и Кошелев»",Быловая химия,Отбеливатель Der Waschkonig C.G. Fleckentferner,5,74.15
sale,2020-03-08,ООО «Дьячкова Коновалов»,Посуда,Сковорода блинная Гранит,2,30.07
sale,2020-03-21,"РАО «Брагина, Русакова и Кошелев»",Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,2,76.55
buy,2020-03-19,"РАО «Брагина, Русакова и Кошелев»",,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,8,11824.72
buy,2020-03-04,"ЗАО «Исаков, Блохина и Зайцева»",Электротовары,Фонарь ручной «Контраст»,5,167.97
buy,2020-03-06,Крокус,Электротовары,Фонарь ручной «Контраст»,5,243.23
sale,2020-03-27,Крокус,,Пельмени «Башкирские»,9,140.99
buy,2020-03-18,Крокус,,Игрушка надувная Меч череп,8,3772.85
buy,2020-03-14,ТГК-2,Посуда,Миска «Русская» малая,5,3674.46
sale,2020-03-26,"РАО «Брагина, Русакова и Кошелев»",Электротовары,Умный встраиваемый  выключатель HIPER,8,244.05
buy,2020-03-09,ТГК-2,Посуда,Набор ножей «Overlord»,5,66.75
buy,2020-04-26,"ЗАО «Исаков, Блохина и Зайцева»",Быловая химия,Универсальное моющее средство «Выгодная уборка»,4,507.66
buy,2020-04-10,ТГК-2,Быловая химия,Жидкий кислород Planet Aquafair,1,142.51
sale,2020-04-01,"ЗАО «Исаков, Блохина и Зайцева»",Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,10,850.45
sale,2020-04-19,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Сковорода блинная Гранит,8,221.38
sale,2020-04-22,ООО «Дьячкова Коновалов»,,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,8,27.21
sale,2020-04-15,"ЗАО «Исаков, Блохина и Зайцева»",Мебель,Корзина сетчатая навесная на полку,2,894.92
sale,2020-04-01,"ЗАО «Исаков, Блохина и Зайцева»",Быловая химия,Универсальное моющее средство «Выгодная уборка»,10,257.97
sale,2020-04-07,ООО «Дьячкова Коновалов»,Электротовары,Умный встраиваемый  выключатель HIPER,9,117.55
buy,2020-04-02,"ЗАО «Исаков, Блохина и Зайцева»",Быловая химия,Универсальное моющее средство «Выгодная уборка»,3,7317.17
sale,2020-04-26,"ЗАО «Исаков, Блохина и Зайцева»",Мебель,Корзина сетчатая навесная на полку,1,4.25
sale,2020-04-15,ТГК-2,Инструменты,Система выравнивания плитки «ПСВП»,5,816.55
buy,2020-04-26,ООО «Дьячкова Коновалов»,,Игрушка надувная Меч череп,3,9637.63
buy,2020-04-10,"ЗАО «Исаков, Блохина и Зайцева»",Мебель,Корзина сетчатая навесная на полку,9,58.33
sale,2020-04-01,"ЗАО «Исаков, Блохина и Зайцева»",Инструменты,Круг отрезной по металлу TSUNAMI,7,78.04
buy,2020-04-05,ТГК-2,Мебель,Корзина сетчатая навесная на полку,8,1838.34
sale,2020-04-29,"ЗАО «Исаков, Блохина и Зайцева»",Инструменты,Круг отрезной по металлу TSUNAMI,3,821.43
buy,2020-04-11,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Набор ножей «Overlord»,8,12.04
sale,2020-04-25,Крокус,Электротовары,Зарядное устройство GP U411,5,10485.45
sale,2020-04-17,Крокус,Электротовары,Зарядное устройство GP U411,9,8547.26
sale,2020-04-08,ООО «Дьячкова Коновалов»,Быловая химия,Жидкий кислород Planet Aquafair,4,1338.27
sale,2020-04-24,Крокус,Электротовары,Зарядное устройство GP U411,8,1975.47
sale,2020-04-29,ООО «Дьячкова Коновалов»,Электротовары,Фонарь ручной «Контраст»,10,44.14
sale,2020-04-22,"ЗАО «Исаков, Блохина и Зайцева»",Электротовары,Зарядное устройство GP U411,2,51.94
sale,2020-04-04,ТГК-2,,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,3,1512.92
buy,2020-04-08,ТГК-2,Инструменты,Круг отрезной по металлу TSUNAMI,6,17.47
sale,2020-04-12,ТГК-2,Быловая химия,Отбеливатель Der Waschkonig C.G. Fleckentferner,8,2549.57
buy,2020-04-04,ООО «Дьячкова Коновалов»,Посуда,Набор ножей «Overlord»,1,9154.45
buy,2020-04-03,"РАО «Брагина, Русакова и Кошелев»",Быловая химия,Универсальное моющее средство «Выгодная уборка»,4,223.98
buy,2020-04-10,"ЗАО «Исаков, Блохина и Зайцева»",Мебель,Стол раскладной Ялта-1,3,50.17
sale,2020-04-21,"РАО «Брагина, Русакова и Кошелев»",Мебель,Корзина сетчатая навесная на полку,2,282.58
buy,2020-04-19,"РАО «Брагина, Русакова и Кошелев»",Быловая химия,Жидкий кислород Planet Aquafair,4,1477.56
sale,2020-04-01,Крокус,Электротовары,Умный встраиваемый  выключатель HIPER,5,59.67
buy,2020-04-08,"РАО «Брагина, Русакова и Кошелев»",Посуда,Сковорода блинная Гранит,10,378.02
buy,2020-04-11,ООО «Дьячкова Коновалов»,,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,6,20426.06
sale,2020-04-08,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Миска «Русская» малая,8,4514.94
buy,2020-04-23,Крокус,,Пельмени «Башкирские»,10,402.39
buy,2020-04-23,Крокус,,Пельмени «Башкирские»,2,22.1
buy,2020-04-06,ТГК-2,Инструменты,Система выравнивания плитки «ПСВП»,8,8.81
buy,2020-04-01,Крокус,Мебель,Корзина сетчатая навесная на полку,8,795.32
buy,2020-04-24,Крокус,Инструменты,Круг отрезной по металлу TSUNAMI,4,18.92
sale,2020-04-04,ООО «Дьячкова Коновалов»,,Игрушка надувная Меч череп,10,1057.97
buy,2020-04-10,Крокус,,Пельмени «Башкирские»,9,127.18
buy,2020-04-06,Крокус,Мебель,Корзина сетчатая навесная на полку,1,149.79
buy,2020-04-23,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Набор ножей «Overlord»,8,19605.87
buy,2020-04-16,"ЗАО «Исаков, Блохина и Зайцева»",,Ручка шариковая MAZARi Silvano Smart Ink,1,1739.05
buy,2020-04-09,ТГК-2,Электротовары,Зарядное устройство GP U411,4,1854.52
sale,2020-04-07,"ЗАО «Исаков, Блохина и Зайцева»",Быловая химия,Жидкий кислород Planet Aquafair,2,161.82
buy,2020-04-21,Крокус,Инструменты,Круг отрезной по металлу TSUNAMI,5,203.51
sale,2020-04-03,ООО «Дьячкова Коновалов»,Посуда,Миска «Русская» малая,2,2126.64
buy,2020-04-22,ООО «Дьячкова Коновалов»,Мебель,Ручка скоба РС109,3,346.62
buy,2020-04-30,ТГК-2,Электротовары,Фонарь ручной «Контраст»,9,144.08
sale,2020-04-01,"РАО «Брагина, Русакова и Кошелев»",Мебель,Стол раскладной Ялта-1,7,5131.12
sale,2020-04-08,"РАО «Брагина, Русакова и Кошелев»",Электротовары,Фонарь ручной «Контраст»,2,49.18
sale,2020-04-01,ООО «Дьячкова Коновалов»,Мебель,Стол раскладной Ялта-1,4,26188.99
buy,2020-04-01,"РАО «Брагина, Русакова и Кошелев»",,Ручка шариковая MAZARi Silvano Smart Ink,6,1852.77
sale,2020-04-12,"РАО «Брагина, Русакова и Кошелев»",Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,3,1644.18
buy,2020-04-14,ООО «Дьячкова Коновалов»,,Пельмени «Башкирские»,8,16.78
buy,2020-04-20,Крокус,Быловая химия,Отбеливатель Der Waschkonig C.G. Fleckentferner,5,447.3
buy,2020-04-04,Крокус,Посуда,Сковорода блинная Гранит,9,83.68
sale,2020-04-30,"РАО «Брагина, Русакова и Кошелев»",,Игрушка надувная Меч череп,9,11784.15
buy,2020-04-12,ООО «Дьячкова Коновалов»,Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,4,959.22
sale,2020-04-04,Крокус,Мебель,Корзина сетчатая навесная на полку,4,100.97
sale,2020-04-03,"ЗАО «Исаков, Блохина и Зайцева»",,Альбом для монет «Деньги Мира»,7,154.78
sale,2020-04-06,"ЗАО «Исаков, Блохина и Зайцева»",Инструменты,Система выравнивания плитки «ПСВП»,7,3765.28
buy,2020-04-09,ООО «Дьячкова Коновалов»,,Игрушка надувная Меч череп,8,8932.45
sale,2020-04-21,Крокус,,Игрушка надувная Меч череп,3,61.09
buy,2020-04-03,Крокус,Быловая химия,Универсальное моющее средство «Выгодная уборка»,3,2805.29
sale,2020-04-05,Крокус,Быловая химия,Универсальное моющее средство «Выгодная уборка»,10,405.93
sale,2020-04-02,"ЗАО «Исаков, Блохина и Зайцева»",Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,9,106.43
buy,2020-04-21,ООО «Дьячкова Коновалов»,Мебель,Ручка скоба РС109,5,15370.22
sale,2020-04-21,Крокус,Электротовары,Фонарь ручной «Контраст»,8,16.82
sale,2020-04-02,"РАО «Брагина, Русакова и Кошелев»",Электротовары,Зарядное устройство GP U411,10,50.59
buy,2020-04-20,Крокус,,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,5,91.1
sale,2020-04-11,"РАО «Брагина, Русакова и Кошелев»",,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,6,1030.73
sale,2020-04-26,ООО «Дьячкова Коновалов»,,Пельмени «Башкирские»,2,8256.41
sale,2020-04-10,Крокус,Посуда,Сковорода блинная Гранит,10,530.61
buy,2020-04-07,ООО «Дьячкова Коновалов»,Электротовары,Фонарь ручной «Контраст»,7,347.28
buy,2020-04-14,ООО «Дьячкова Коновалов»,Мебель,Корзина сетчатая навесная на полку,4,1269.45
buy,2020-04-02,"РАО «Брагина, Русакова и Кошелев»",,Игрушка надувная Меч череп,6,2156.06
sale,2020-04-22,"ЗАО «Исаков, Блохина и Зайцева»",Инструменты,Круг отрезной по металлу TSUNAMI,5,227.92
sale,2020-04-07,Крокус,Посуда,Миска «Русская» малая,2,265.51
sale,2020-04-28,ООО «Дьячкова Коновалов»,Быловая химия,Универсальное моющее средство «Выгодная уборка»,2,252.02
buy,2020-04-03,ООО «Дьячкова Коновалов»,Посуда,Миска «Русская» малая,7,206.39
buy,2020-04-24,"ЗАО «Исаков, Блохина и Зайцева»",Мебель,Корзина сетчатая навесная на полку,9,447.73
buy,2020-04-09,ООО «Дьячкова Коновалов»,,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,9,8.29
buy,2020-04-24,"РАО «Брагина, Русакова и Кошелев»",,Игрушка надувная Меч череп,9,1055.23
sale,2020-04-04,"РАО «Брагина, Русакова и Кошелев»",Электротовары,Зарядное устройство GP U411,4,4297.57
buy,2020-04-28,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Сковорода блинная Гранит,1,63.7
buy,2020-04-21,Крокус,Мебель,Ручка скоба РС109,2,67.03
sale,2020-04-05,Крокус,,Пельмени «Башкирские»,3,1447.8
buy,2020-04-05,"ЗАО «Исаков, Блохина и Зайцева»",,Пельмени «Башкирские»,4,19.43
sale,2020-04-09,ТГК-2,Мебель,Корзина сетчатая навесная на полку,2,4271.38
sale,2020-04-19,ТГК-2,Электротовары,Фонарь ручной «Контраст»,9,649.63
sale,2020-04-15,"ЗАО «Исаков, Блохина и Зайцева»",,Альбом для монет «Деньги Мира»,6,590.44
sale,2020-04-20,ООО «Дьячкова Коновалов»,Электротовары,Умный встраиваемый  выключатель HIPER,1,13255.51
sale,2020-04-12,"РАО «Брагина, Русакова и Кошелев»",Быловая химия,Жидкий кислород Planet Aquafair,9,1.91
sale,2020-04-07,"РАО «Брагина, Русакова и Кошелев»",,Игрушка надувная Меч череп,4,7380.99
sale,2020-04-28,"ЗАО «Исаков, Блохина и Зайцева»",Электротовары,Зарядное устройство GP U411,6,796.94
buy,2020-04-29,"ЗАО «Исаков, Блохина и Зайцева»",Мебель,Стол раскладной Ялта-1,3,357.24
buy,2020-04-22,"РАО «Брагина, Русакова и Кошелев»",Быловая химия,Отбеливатель Der Waschkonig C.G. Fleckentferner,5,7504.25
buy,2020-05-13,Крокус,Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,7,12.44
buy,2020-05-31,Крокус,,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,8,22.83
sale,2020-05-10,"ЗАО «Исаков, Блохина и Зайцева»",Электротовары,Зарядное устройство GP U411,9,66.15
sale,2020-05-08,Крокус,Электротовары,Зарядное устройство GP U411,6,162.41
buy,2020-05-16,Крокус,Посуда,Сковорода блинная Гранит,4,17594.06
buy,2020-05-19,"ЗАО «Исаков, Блохина и Зайцева»",,Ручка шариковая MAZARi Silvano Smart Ink,4,94.18
sale,2020-05-04,ООО «Дьячкова Коновалов»,,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,7,13799.35
buy,2020-05-06,"РАО «Брагина, Русакова и Кошелев»",Быловая химия,Универсальное моющее средство «Выгодная уборка»,5,6432.16
sale,2020-05-01,"РАО «Брагина, Русакова и Кошелев»",Посуда,Миска «Русская» малая,1,580.2
sale,2020-05-03,Крокус,Инструменты,Система выравнивания плитки «ПСВП»,7,748.45
sale,2020-05-20,ТГК-2,Инструменты,Система выравнивания плитки «ПСВП»,7,25.69
buy,2020-05-07,"ЗАО «Исаков, Блохина и Зайцева»",,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,2,1946.94
sale,2020-05-22,Крокус,,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,5,38.27
buy,2020-05-10,ТГК-2,Мебель,Корзина сетчатая навесная на полку,5,1208.6
buy,2020-05-05,ООО «Дьячкова Коновалов»,Посуда,Миска «Русская» малая,2,37.31
sale,2020-05-17,ТГК-2,,Альбом для монет «Деньги Мира»,3,6224.55
sale,2020-05-07,Крокус,Посуда,Сковорода блинная Гранит,2,105.4
sale,2020-05-14,"ЗАО «Исаков, Блохина и Зайцева»",,Ручка шариковая MAZARi Silvano Smart Ink,1,546.7
sale,2020-05-21,"ЗАО «Исаков, Блохина и Зайцева»",Электротовары,Умный встраиваемый  выключатель HIPER,6,45.68
buy,2020-05-29,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Сковорода блинная Гранит,10,118.27
buy,2020-05-05,"ЗАО «Исаков, Блохина и Зайцева»",Электротовары,Умный встраиваемый  выключатель HIPER,6,5391.38
buy,2020-05-21,ТГК-2,Посуда,Набор ножей «Overlord»,5,409.86
sale,2020-05-11,Крокус,Посуда,Сковорода блинная Гранит,1,34.46
buy,2020-05-26,Крокус,,Альбом для монет «Деньги Мира»,9,1.48
buy,2020-05-06,"РАО «Брагина, Русакова и Кошелев»",,Игрушка надувная Меч череп,9,28.57
buy,2020-05-02,Крокус,Быловая химия,Жидкий кислород Planet Aquafair,8,1951.79
buy,2020-05-29,ООО «Дьячкова Коновалов»,,Игрушка надувная Меч череп,6,122.22
buy,2020-05-10,ТГК-2,Посуда,Сковорода блинная Гранит,2,2220.98
sale,2020-05-17,"ЗАО «Исаков, Блохина и Зайцева»",Электротовары,Зарядное устройство GP U411,5,31.24
sale,2020-05-04,"РАО «Брагина, Русакова и Кошелев»",Электротовары,Фонарь ручной «Контраст»,2,87.24
buy,2020-05-23,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Сковорода блинная Гранит,6,1246.7
buy,2020-05-24,Крокус,Мебель,Стол раскладной Ялта-1,7,12029.75
buy,2020-05-02,ТГК-2,Мебель,Стол раскладной Ялта-1,7,2651.74
sale,2020-05-29,ТГК-2,Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,1,2552.19
sale,2020-05-17,ТГК-2,,Игрушка надувная Меч череп,3,6439.61
sale,2020-05-15,"ЗАО «Исаков, Блохина и Зайцева»",Инструменты,Круг отрезной по металлу TSUNAMI,2,7981.51
sale,2020-05-02,ТГК-2,,Игрушка надувная Меч череп,1,170.76
buy,2020-05-28,Крокус,Быловая химия,Универсальное моющее средство «Выгодная уборка»,2,2268.86
buy,2020-05-15,ТГК-2,,Альбом для монет «Деньги Мира»,7,226.92
buy,2020-05-12,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Набор ножей «Overlord»,9,336.73
sale,2020-05-05,Крокус,,Пельмени «Башкирские»,6,22716.59
buy,2020-05-16,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Сковорода блинная Гранит,9,246.42
sale,2020-05-07,"ЗАО «Исаков, Блохина и Зайцева»",Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,9,7000.89
buy,2020-05-06,"РАО «Брагина, Русакова и Кошелев»",Мебель,Ручка скоба РС109,8,106.38
buy,2020-05-16,ООО «Дьячкова Коновалов»,Посуда,Миска «Русская» малая,6,101.93
buy,2020-05-18,ООО «Дьячкова Коновалов»,Электротовары,Умный встраиваемый  выключатель HIPER,10,6678.78
buy,2020-05-08,ООО «Дьячкова Коновалов»,Электротовары,Фонарь ручной «Контраст»,9,961.12
sale,2020-05-27,Крокус,Посуда,Набор ножей «Overlord»,4,4388.41
sale,2020-05-20,Крокус,Электротовары,Зарядное устройство GP U411,3,126.16
sale,2020-05-07,ООО «Дьячкова Коновалов»,Электротовары,Фонарь ручной «Контраст»,6,2897.28
buy,2020-05-22,ТГК-2,Инструменты,Круг отрезной по металлу TSUNAMI,3,1178.59
buy,2020-05-10,"ЗАО «Исаков, Блохина и Зайцева»",Инструменты,Круг отрезной по металлу TSUNAMI,8,12949.1
sale,2020-05-29,ТГК-2,Посуда,Сковорода блинная Гранит,2,804.9
buy,2020-05-16,ООО «Дьячкова Коновалов»,Посуда,Набор ножей «Overlord»,4,4927.02
buy,2020-05-03,ООО «Дьячкова Коновалов»,Мебель,Ручка скоба РС109,9,1829.44
buy,2020-05-23,Крокус,Мебель,Ручка скоба РС109,3,139.25
sale,2020-05-28,Крокус,Электротовары,Зарядное устройство GP U411,4,18763.8
sale,2020-05-02,ООО «Дьячкова Коновалов»,Посуда,Миска «Русская» малая,5,205.32
buy,2020-05-03,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Набор ножей «Overlord»,10,4404.33
buy,2020-05-13,ООО «Дьячкова Коновалов»,Быловая химия,Отбеливатель Der Waschkonig C.G. Fleckentferner,8,120.2
buy,2020-05-27,"ЗАО «Исаков, Блохина и Зайцева»",,Альбом для монет «Деньги Мира»,1,159.59
buy,2020-05-30,ООО «Дьячкова Коновалов»,Мебель,Ручка скоба РС109,5,11431.24
sale,2020-05-16,ТГК-2,Инструменты,Система выравнивания плитки «ПСВП»,7,653.9
sale,2020-05-24,ООО «Дьячкова Коновалов»,Быловая химия,Отбеливатель Der Waschkonig C.G. Fleckentferner,9,1284.02
buy,2020-05-03,Крокус,Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,10,10021.73
sale,2020-05-14,"РАО «Брагина, Русакова и Кошелев»",Мебель,Стол раскладной Ялта-1,9,40.11
sale,2020-05-16,"РАО «Брагина, Русакова и Кошелев»",Мебель,Стол раскладной Ялта-1,1,80.9
buy,2020-05-15,"РАО «Брагина, Русакова и Кошелев»",Мебель,Стол раскладной Ялта-1,8,10.67
sale,2020-05-13,ООО «Дьячкова Коновалов»,,Пельмени «Башкирские»,10,1084.95
buy,2020-05-06,ТГК-2,,Игрушка надувная Меч череп,10,48.71
sale,2020-05-02,ООО «Дьячкова Коновалов»,Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,6,8215.64
buy,2020-05-18,Крокус,Мебель,Ручка скоба РС109,1,195.7
sale,2020-05-16,ООО «Дьячкова Коновалов»,,Ручка шариковая MAZARi Silvano Smart Ink,10,247.13
sale,2020-05-08,"ЗАО «Исаков, Блохина и Зайцева»",Электротовары,Фонарь ручной «Контраст»,9,6499.47
buy,2020-05-10,ТГК-2,Быловая химия,Жидкий кислород Planet Aquafair,2,25741.75
buy,2020-05-20,ООО «Дьячкова Коновалов»,Электротовары,Умный встраиваемый  выключатель HIPER,3,14786.09
sale,2020-05-16,ООО «Дьячкова Коновалов»,Электротовары,Зарядное устройство GP U411,1,1846.65
sale,2020-05-30,ТГК-2,Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,8,72.32
sale,2020-05-28,Крокус,Посуда,Набор ножей «Overlord»,10,17.92
buy,2020-05-08,"РАО «Брагина, Русакова и Кошелев»",Мебель,Стол раскладной Ялта-1,8,1233.24
sale,2020-05-05,ТГК-2,,Игрушка надувная Меч череп,1,35.75
sale,2020-05-12,ООО «Дьячкова Коновалов»,Мебель,Ручка скоба РС109,8,64.24
buy,2020-05-01,"ЗАО «Исаков, Блохина и Зайцева»",,Игрушка надувная Меч череп,4,32.84
sale,2020-05-10,"РАО «Брагина, Русакова и Кошелев»",Электротовары,Умный встраиваемый  выключатель HIPER,5,52.81
buy,2020-05-06,ТГК-2,Инструменты,Система выравнивания плитки «ПСВП»,9,133.2
sale,2020-05-06,"РАО «Брагина, Русакова и Кошелев»",Инструменты,Круг отрезной по металлу TSUNAMI,3,47.39
buy,2020-05-07,ООО «Дьячкова Коновалов»,Инструменты,Круг отрезной по металлу TSUNAMI,6,2.4
sale,2020-05-08,ТГК-2,Быловая химия,Отбеливатель Der Waschkonig C.G. Fleckentferner,6,2256.76
buy,2020-05-14,ООО «Дьячкова Коновалов»,Инструменты,Круг отрезной по металлу TSUNAMI,3,2370.22
buy,2020-05-27,Крокус,Посуда,Миска «Русская» малая,6,5086.84
sale,2020-05-06,ТГК-2,Мебель,Стол раскладной Ялта-1,7,137.8
sale,2020-05-05,"РАО «Брагина, Русакова и Кошелев»",,Пельмени «Башкирские»,6,68.15
sale,2020-05-18,"РАО «Брагина, Русакова и Кошелев»",Мебель,Стол раскладной Ялта-1,9,212.87
sale,2020-05-31,ООО «Дьячкова Коновалов»,Электротовары,Умный встраиваемый  выключатель HIPER,2,951.26
buy,2020-05-02,ТГК-2,Мебель,Корзина сетчатая навесная на полку,9,1041.42
buy,2020-05-17,ООО «Дьячкова Коновалов»,Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,5,13203.68
sale,2020-05-07,"РАО «Брагина, Русакова и Кошелев»",Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,9,467.42
sale,2020-05-15,"РАО «Брагина, Русакова и Кошелев»",Посуда,Миска «Русская» малая,3,1510.21
buy,2020-05-21,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Набор ножей «Overlord»,4,11.06
buy,2020-05-12,Крокус,Посуда,Набор ножей «Overlord»,9,63.44
buy,2020-06-26,ООО «Дьячкова Коновалов»,Посуда,Сковорода блинная Гранит,5,2044.02
sale,2020-06-22,"РАО «Брагина, Русакова и Кошелев»",Инструменты,Круг отрезной по металлу TSUNAMI,6,13940.96
sale,2020-06-20,ООО «Дьячкова Коновалов»,Инструменты,Круг отрезной по металлу TSUNAMI,8,153.65
sale,2020-06-09,ТГК-2,Мебель,Ручка скоба РС109,6,3904.84
buy,2020-06-07,"РАО «Брагина, Русакова и Кошелев»",,Пельмени «Башкирские»,3,1155.05
sale,2020-06-07,"РАО «Брагина, Русакова и Кошелев»",Мебель,Ручка скоба РС109,4,17272.2
buy,2020-06-21,ООО «Дьячкова Коновалов»,Электротовары,Зарядное устройство GP U411,2,92.5
sale,2020-06-07,"РАО «Брагина, Русакова и Кошелев»",Электротовары,Зарядное устройство GP U411,6,12540.8
buy,2020-06-10,"РАО «Брагина, Русакова и Кошелев»",Посуда,Набор ножей «Overlord»,10,8300.31
sale,2020-06-03,"ЗАО «Исаков, Блохина и Зайцева»",,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,7,3319.11
buy,2020-06-21,Крокус,,Ручка шариковая MAZARi Silvano Smart Ink,2,7180.78
sale,2020-06-03,Крокус,,Игрушка надувная Меч череп,3,490.78
buy,2020-06-25,ТГК-2,,Пельмени «Башкирские»,6,16002.53
sale,2020-06-24,"ЗАО «Исаков, Блохина и Зайцева»",,Ручка шариковая MAZARi Silvano Smart Ink,7,468.21
sale,2020-06-24,Крокус,,Игрушка надувная Меч череп,5,4461.37
buy,2020-06-08,ТГК-2,Посуда,Миска «Русская» малая,4,21824.91
sale,2020-06-09,Крокус,Посуда,Набор ножей «Overlord»,3,274.8
